Date,Time,Site,Location,Client Location ID,Device,Country,Region,Segment,Cost,Currency,Weight,Unit,Portions,Quantity,Duration,Food Item,Food Item Category,Loss Reason,Source,Disposition,Container,Stage of Processing,Operator,Event Order No.,Edited
11/4/2019,21:06:30,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons - FS,US,NORAM,College/University,229.48,USD,148.05,lb,,1,5,Post Consumer Food,None,Post Consumer,Post Consumer,Compost,Green Bin,Post-Consumer,Post-Consumer,,0
11/4/2019,20:18:30,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,6.4,USD,3.7,lb,,1,23,Fruit,Fruit-Vegetable,Overproduction - Line,Chef's Table,Compost,No Pan,Pre-Consumer,James D,,0
11/4/2019,20:17:06,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,25.96,USD,17.9,lb,,1,39,Sauce,Soup-Sauce-Gravy,Overproduction - Holding,Chef's Table,Compost,Soup Container-Large,Pre-Consumer,James D,,0
11/4/2019,20:16:00,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,9.57,USD,6.6,lb,,1,22,Sauce,Soup-Sauce-Gravy,Overproduction - Holding,Chef's Table,Compost,Soup Container-Large,Pre-Consumer,James D,,0
11/4/2019,20:15:07,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,19.44,USD,16.2,lb,,1,28,Chili,Soup-Sauce-Gravy,Overproduction - Holding,Chef's Table,Compost,Soup Container-Large,Pre-Consumer,James D,,0
11/4/2019,20:13:12,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,66.76,USD,18.7,lb,,1,74,Blended Beef,Meat-Protein,Overproduction - Holding,Chef's Table,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,James D,,0
11/4/2019,20:11:32,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,25.9,USD,7.8,lb,,1,78,Beef - Ground,Meat-Protein,Overproduction - Holding,Chef's Table,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,James D,,0
11/4/2019,20:09:39,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,20.92,USD,6.3,lb,,1,14,Beef - Ground,Meat-Protein,Overproduction - Holding,Chef's Table,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,James D,,0
11/4/2019,20:08:55,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,21.91,USD,6.6,lb,,1,19,Beef - Ground,Meat-Protein,Overproduction - Holding,Chef's Table,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,James D,,0
11/4/2019,20:07:31,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,56.25,USD,15,lb,,1,56,Meatless Protein,Meat-Protein,Overproduction - Holding,Chef's Table,Compost,Full Hotel Pan (4-inch) Metal,Pre-Consumer,James D,,0
